PlotID,SiteNum,RowNum,ColNum,Position,PlotName,Location,CropTrt,CropSp,LeavesStems_kg_1m2,Roots_kg_1m2,Biomass_kg_9m2,extra
84,3,2,6,326,HH_SSVB-2,HH,SSVB,SS,1.75,1.1,11.75,22.25
84,3,2,6,326,HH_SSVB-2,HH,SSVB,VB,4.25,0.1,11.75,25
85,3,3,1,331,HH_SHSS-3,HH,SHSS,SH,6.25,1.8,23.75,
85,3,3,1,331,HH_SHSS-3,HH,SHSS,SS,2,1.1,11.75,
86,3,3,2,332,HH_SHVB-3,HH,SHVB,SH,2.75,1.25,19,
86,3,3,2,332,HH_SHVB-3,HH,SHVB,VB,1.25,0.1,13,
87,3,3,3,333,HH_SSVB-3,HH,SSVB,SS,2.5,1.1,13,
87,3,3,3,333,HH_SSVB-3,HH,SSVB,VB,1.7,0.1,15,
88,3,3,4,334,HH_VB-3,HH,VB,VB,4.25,0.1,20.5,
89,3,3,5,335,HH_SS-3,HH,SS,SS,3.5,1.7,21,
90,3,3,6,336,HH_SH-3,HH,SH,SH,2.9,1.5,27.25,
91,3,4,1,341,HH_SS-4,HH,SS,SS,2.5,1.1,34.5,
92,3,4,2,342,HH_SH-4,HH,SH,SH,5,2.3,30.5,
93,3,4,3,343,HH_VB-4,HH,VB,VB,2.1,0.1,15.75,
94,3,4,4,344,HH_SHVB-4,HH,SHVB,SH,1,0.6,6,
94,3,4,4,344,HH_SHVB-4,HH,SHVB,VB,3.6,0.1,16.25,
95,3,4,5,345,HH_SSVB-4,HH,SSVB,SS,2.9,1.2,18,
95,3,4,5,345,HH_SSVB-4,HH,SSVB,VB,2.5,"0,.1",34.25,
96,3,4,6,346,HH_SHSS-4,HH,SHSS,SH,3.5,1.25,18.25,
96,3,4,6,346,HH_SHSS-4,HH,SHSS,SS,2.5,1.25,9.75,
97,3,5,1,351,HH_SSVB-5,HH,SSVB,SS,3,1.25,11.25,
97,3,5,1,351,HH_SSVB-5,HH,SSVB,VB,4,0.1,13.75,
98,3,5,2,352,HH_VB-5,HH,VB,VB,2,0.1,34.75,
99,3,5,3,353,HH_SHSS-5,HH,SHSS,SH,1.75,1,16.5,
99,3,5,3,353,HH_SHSS-5,HH,SHSS,SS,2.5,1.5,11,
100,3,5,4,354,HH_SS-5,HH,SS,SS,3.4,1.5,24,
101,3,5,5,355,HH_SH-5,HH,SH,SH,5.6,1.3,41,
102,3,5,6,356,HH_SHVB-5,HH,SHVB,SH,2,0.75,16.5,
102,3,5,6,356,HH_SHVB-5,HH,SHVB,VB,1.25,,12,
103,3,6,1,361,HH_SHVB-6,HH,SHVB,SH,3.1,2.6,15,
103,3,6,1,361,HH_SHVB-6,HH,SHVB,VB,0.9,,6,
104,3,6,2,362,HH_SS-6,HH,SS,SS,2.2,1,11,
105,3,6,3,363,HH_SH-6,HH,SH,SH,6,2.7,17,
106,3,6,4,364,HH_SSVB-6,HH,SSVB,SS,2.8,1.7,11.5,
106,3,6,4,364,HH_SSVB-6,HH,SSVB,VB,2.75,"0,.1",14.5,
107,3,6,5,365,HH_SHSS-6,HH,SHSS,SH,4.1,1.4,16.25,
107,3,6,5,365,HH_SHSS-6,HH,SHSS,SS,1.7,1,6,
108,3,6,6,366,HH_VB-6,HH,VB,VB,2.5,0.7,25,
