Species,Code,Lot,100_Wgt_g_1,100_Wgt_g_2,100_Wgt_g_3,TKW_g_1,TKW_g_2,TKW_g_3,Avg_TKW_g,Date
Sunn hemp,SH,2019,6.017,6.126,6.335,60.17,61.26,63.35,61.59333333,10/29/2020
Sorghum sudan grass - Coated,SS_C,2019,2.463,2.418,2.369,24.63,24.18,23.69,24.16666667,10/29/2020
Sorghum sudan grass,SS,2018,2.433,2.435,2.329,24.33,24.35,23.29,23.99,10/29/2020
Velvet bean,VB,2019,106.966,108.407,101.658,1069.66,1084.07,1016.58,1056.77,10/29/2020
