Species,Code,NumOfSeed,StartDate,Germination_3_DAP,Germination_5_DAP,Germination_7_DAP,EndDate
Sunn hemp,SH,30,10/30/2020,28,29,29,11/6/2020
Sorghum sudan grass - Coated,SS_C,30,10/30/2020,12,13,13,11/6/2020
Sorghum sudan grass,SS,30,10/30/2020,27,28,28,11/6/2020
Velvet bean,VB,30,10/30/2020,0,22,26,11/6/2020
