Location,CropSp,AGB_MC,BGB_MC
VF,SH,80.46337792,64.56665355
VF,SS,67.64865181,56.51765249
VF,VB,76.85090355,71.23815794
FO,SH,74.41953872,52.15356678
FO,SS,76.18540881,52.09223947
FO,VB,77.93856857,59.32672722
HH,SH,74.32640606,70.16814072
HH,SS,85.56565385,52.00684291
HH,VB,64.83523771,56.13054008
OC,SH,61.16033418,66.88787222
OC,SS,85.38239221,49.12333011
OC,VB,69.58171652,67.38307685
