Location,CropTrt,avg_LeavesStems_tha,sd_LeavesStems_tha,avg_SOM_percent,sd_SOM_percent,avg_TP_mgkg,sd_TP_mgkg
HH,SHVB,11.39,4.63,17.48,1.34,27.92,8.38
HH,SSVB,18.15,10.08,18.05,2.36,27.36,7.22
HH,VB,28.75,7.69,16.55,2.07,27.05,6.8
VF,SHVB,3.5,1.55,6.75,1.7,70.66,8.21
VF,SSVB,5.46,3.67,7.32,1.2,70.11,9.62
VF,VB,11.43,2.8,6.73,0.75,78.78,4.17
